City,Date,Wind Forecast (km/h),Power (kWh/day),Feasibility
Kakinada,2025-06-01,8.883398665554669,1457.190924597299,Not Feasible
Kakinada,2025-06-02,9.158851230044315,1596.9893281225577,Not Feasible
Kakinada,2025-06-03,8.848709987959143,1440.1869938011068,Not Feasible
Kakinada,2025-06-04,8.580764801485213,1313.2789835266353,Not Feasible
Kakinada,2025-06-05,7.999405285381396,1064.0256606306991,Not Feasible
Kakinada,2025-06-06,8.077914470180868,1095.662382895942,Not Feasible
Kakinada,2025-06-07,8.065071655794668,1090.4448126146547,Not Feasible
Kakinada,2025-06-08,7.880324037672512,1017.2114212858187,Not Feasible
Kakinada,2025-06-09,6.821249408896271,659.7369180657644,Not Feasible
Kakinada,2025-06-10,7.706603469456836,951.410720717636,Not Feasible
Kakinada,2025-06-11,7.542090967157848,891.7729577393673,Not Feasible
Kakinada,2025-06-12,7.636455009223813,925.6661702682745,Not Feasible
Kakinada,2025-06-13,7.571762757917093,902.3395514363466,Not Feasible
Kakinada,2025-06-14,7.3752263590781135,833.8828888961356,Not Feasible
Kakinada,2025-06-15,7.189951412672257,772.6038475566496,Not Feasible
Kakinada,2025-06-16,7.5279897845024975,886.7803541222426,Not Feasible
Kakinada,2025-06-17,7.10332303530251,745.0127341577231,Not Feasible
Kakinada,2025-06-18,7.000191318561492,713.0315204856815,Not Feasible
Kakinada,2025-06-19,7.1655929526311715,764.7780278216918,Not Feasible
Kakinada,2025-06-20,7.4219150309453665,849.8199732603061,Not Feasible
Kakinada,2025-06-21,7.208196499083033,778.5004205876105,Not Feasible
Kakinada,2025-06-22,7.836010419128847,1000.1474090497406,Not Feasible
Kakinada,2025-06-23,7.646555172912333,929.3439570167214,Not Feasible
Kakinada,2025-06-24,7.662903035364371,935.3173494359692,Not Feasible
Kakinada,2025-06-25,7.568661727196933,901.231340476679,Not Feasible
Kakinada,2025-06-26,7.452381798371141,860.3284589182532,Not Feasible
Kakinada,2025-06-27,7.268695538283294,798.2674742046753,Not Feasible
Kakinada,2025-06-28,7.54493401420473,892.7818192043177,Not Feasible
Kakinada,2025-06-29,7.111724607750306,747.6593903549701,Not Feasible
Kakinada,2025-06-30,7.040025345953316,725.273263708629,Not Feasible
Visakhapatnam,2025-06-01,7.781332790822721,979.3568572906993,Not Feasible
Visakhapatnam,2025-06-02,7.866302136355227,1011.7911338297823,Not Feasible
Visakhapatnam,2025-06-03,8.584477625053893,1314.9844550217779,Not Feasible
Visakhapatnam,2025-06-04,8.957537692612629,1493.9805133854106,Not Feasible
Visakhapatnam,2025-06-05,9.331780270326014,1689.16670463724,Not Feasible
Visakhapatnam,2025-06-06,9.58040903691597,1827.8104463551729,Not Feasible
Visakhapatnam,2025-06-07,9.405051157817274,1729.2687226810815,Not Feasible
Visakhapatnam,2025-06-08,10.089768924197044,2135.121827052024,Not Feasible
Visakhapatnam,2025-06-09,9.574661718828786,1824.52289132385,Not Feasible
Visakhapatnam,2025-06-10,9.610478545832787,1845.0750684665318,Not Feasible
Visakhapatnam,2025-06-11,10.725141147666815,2564.413468037109,Not Feasible
Visakhapatnam,2025-06-12,9.866356906399696,1996.4087502885186,Not Feasible
Visakhapatnam,2025-06-13,10.143432843501358,2169.3712212608116,Not Feasible
Visakhapatnam,2025-06-14,9.435081728132978,1745.886469368089,Not Feasible
Visakhapatnam,2025-06-15,9.61069187961068,1845.19794233922,Not Feasible
Visakhapatnam,2025-06-16,9.61472658052158,1847.522836671976,Not Feasible
Visakhapatnam,2025-06-17,9.742894537056657,1922.396665135232,Not Feasible
Visakhapatnam,2025-06-18,9.835901691671124,1977.9783696328302,Not Feasible
Visakhapatnam,2025-06-19,9.580818018323232,1828.0445404522457,Not Feasible
Visakhapatnam,2025-06-20,10.170554978601881,2186.819587634023,Not Feasible
Visakhapatnam,2025-06-21,9.640566144500843,1862.4585495282815,Not Feasible
Visakhapatnam,2025-06-22,9.634947732256292,1859.2041879236242,Not Feasible
Visakhapatnam,2025-06-23,10.680494377744582,2532.5210689415517,Not Feasible
Visakhapatnam,2025-06-24,9.861887381731957,1993.6968202394567,Not Feasible
Visakhapatnam,2025-06-25,10.118155070604823,2153.193168296841,Not Feasible
Visakhapatnam,2025-06-26,9.396049165051723,1724.3079938283697,Not Feasible
Visakhapatnam,2025-06-27,9.562372873631137,1817.5067120036642,Not Feasible
Visakhapatnam,2025-06-28,9.560156428235766,1816.2431749805144,Not Feasible
Visakhapatnam,2025-06-29,9.684163660019786,1887.8407693982876,Not Feasible
Visakhapatnam,2025-06-30,9.77448377563651,1941.15623001923,Not Feasible
Jaisalmer,2025-06-01,16.325095825968987,9043.70145966507,Feasible
Jaisalmer,2025-06-02,14.574054361356003,6434.579266039262,Feasible
Jaisalmer,2025-06-03,14.034759093009772,5746.373980504942,Feasible
Jaisalmer,2025-06-04,13.868344655106764,5544.378597646553,Feasible
